iso3,ventana,lado,base,observado_fin,err_congelar,err_tendencia
AUS,1925->1975,exp_gdp,4.5,24.4,19.9,9.1
AUS,1925->1975,rev_gdp,4.1,25.6,21.4,14.7
BEL,1925->1975,exp_gdp,30.0,47.3,17.3,-66.7
BEL,1925->1975,rev_gdp,18.6,42.2,23.7,-22.2
CAN,1925->1975,exp_gdp,7.1,38.0,30.9,23.3
CAN,1925->1975,rev_gdp,7.7,37.4,29.7,18.7
CHE,1925->1975,exp_gdp,4.2,27.3,23.2,15.8
CHE,1925->1975,rev_gdp,4.2,26.7,22.5,15.1
DEU,1925->1975,exp_gdp,18.0,39.5,21.5,
DEU,1925->1975,rev_gdp,13.5,42.2,28.6,
DNK,1925->1975,exp_gdp,11.0,43.5,32.5,17.7
DNK,1925->1975,rev_gdp,7.7,43.7,36.0,26.2
ESP,1925->1975,exp_gdp,15.5,25.2,9.7,-11.1
ESP,1925->1975,rev_gdp,13.0,24.9,11.9,0.5
FIN,1925->1975,exp_gdp,20.5,34.7,14.2,-14.0
FIN,1925->1975,rev_gdp,17.7,38.9,21.2,2.0
FRA,1925->1975,exp_gdp,11.3,20.8,9.6,-17.9
FRA,1925->1975,rev_gdp,10.6,22.9,12.3,0.9
GBR,1925->1975,exp_gdp,25.0,42.4,17.4,-10.4
GBR,1925->1975,rev_gdp,24.3,38.3,14.0,-40.0
ITA,1925->1975,exp_gdp,15.7,35.8,20.0,8.6
ITA,1925->1975,rev_gdp,16.7,28.4,11.7,-9.9
JPN,1925->1975,exp_gdp,2.3,26.7,24.4,24.6
JPN,1925->1975,rev_gdp,2.5,24.0,21.4,23.8
NLD,1925->1975,exp_gdp,7.6,46.8,39.1,33.5
NLD,1925->1975,rev_gdp,11.9,27.5,15.6,-3.7
NOR,1925->1975,exp_gdp,8.6,42.1,33.5,25.7
NOR,1925->1975,rev_gdp,9.9,34.3,24.4,26.0
PRT,1925->1975,exp_gdp,9.4,23.0,13.6,-3.7
PRT,1925->1975,rev_gdp,8.5,22.1,13.6,13.4
SWE,1925->1975,exp_gdp,11.4,43.7,32.3,23.7
SWE,1925->1975,rev_gdp,9.9,48.0,38.1,36.7
USA,1925->1975,exp_gdp,3.8,35.1,31.3,13.7
USA,1925->1975,rev_gdp,4.0,30.4,26.4,11.6
BEL,1975->2025,exp_gdp,51.0,52.8,1.8,-101.9
BEL,1975->2025,rev_gdp,44.5,49.1,4.6,-90.6
DEU,1975->2025,exp_gdp,41.7,48.1,6.4,-9.3
DEU,1975->2025,rev_gdp,41.9,46.8,4.9,-9.7
DNK,1975->2025,exp_gdp,46.1,47.4,1.3,-109.4
DNK,1975->2025,rev_gdp,42.5,51.2,8.7,-101.3
ESP,1975->2025,exp_gdp,26.4,45.4,19.0,-10.0
ESP,1975->2025,rev_gdp,25.5,42.4,16.9,-19.6
FIN,1975->2025,exp_gdp,38.8,55.9,17.1,-7.4
FIN,1975->2025,rev_gdp,43.3,53.5,10.2,-24.8
FRA,1975->2025,exp_gdp,22.3,56.9,34.6,40.4
FRA,1975->2025,rev_gdp,22.5,51.6,29.0,22.8
IRL,1975->2025,exp_gdp,42.1,22.2,-19.9,-59.9
IRL,1975->2025,rev_gdp,34.0,24.3,-9.7,-41.7
ITA,1975->2025,exp_gdp,38.4,53.6,15.2,-15.1
ITA,1975->2025,rev_gdp,28.5,47.2,18.7,13.2
NLD,1975->2025,exp_gdp,50.5,44.0,-6.5,-118.0
NLD,1975->2025,rev_gdp,28.1,43.5,15.4,-0.3
PRT,1975->2025,exp_gdp,26.4,42.0,15.6,-20.5
PRT,1975->2025,rev_gdp,24.3,43.2,18.9,-17.0
SWE,1975->2025,exp_gdp,44.5,50.0,5.5,-39.0
SWE,1975->2025,rev_gdp,49.3,48.9,-0.4,-50.0
