pct_neto_endurecimiento,anyo,quarter
40.0,2003,1
30.0,2003,2
30.0,2003,3
30.0,2003,4
40.0,2004,1
40.0,2004,2
10.0,2004,3
20.0,2004,4
10.0,2005,1
10.0,2005,2
10.0,2005,3
-20.0,2005,4
12.5,2006,1
-10.0,2006,2
-20.0,2006,3
20.0,2006,4
10.0,2007,1
40.0,2007,2
60.0,2007,3
70.0,2007,4
90.0,2008,1
90.0,2008,2
90.0,2008,3
70.0,2008,4
90.0,2009,1
30.0,2009,2
10.0,2009,3
0.0,2009,4
0.0,2010,1
0.0,2010,2
11.11111068725586,2010,3
0.0,2010,4
0.0,2011,1
11.11111068725586,2011,2
11.11111068725586,2011,3
11.11111068725586,2011,4
22.22222137451172,2012,1
11.11111068725586,2012,2
11.11111068725586,2012,3
0.0,2012,4
11.11111068725586,2013,1
22.22222137451172,2013,2
0.0,2013,3
0.0,2013,4
0.0,2014,1
0.0,2014,2
0.0,2014,3
0.0,2014,4
0.0,2015,1
0.0,2015,2
0.0,2015,3
-11.11111068725586,2015,4
0.0,2016,1
-11.11111068725586,2016,2
-11.11111068725586,2016,3
-11.11111068725586,2016,4
0.0,2017,1
0.0,2017,2
0.0,2017,3
-11.11111068725586,2017,4
-11.11111068725586,2018,1
-11.11111068725586,2018,2
-11.11111068725586,2018,3
0.0,2018,4
0.0,2019,1
11.11111068725586,2019,2
11.11111068725586,2019,3
0.0,2019,4
11.11111068725586,2020,1
0.0,2020,2
33.33333206176758,2020,3
11.11111068725586,2020,4
0.0,2021,1
11.11111068725586,2021,2
0.0,2021,3
11.11111068725586,2021,4
11.11111068725586,2022,1
0.0,2022,2
30.0,2022,3
40.0,2022,4
20.0,2023,1
20.0,2023,2
10.0,2023,3
30.0,2023,4
0.0,2024,1
0.0,2024,2
10.0,2024,3
0.0,2024,4
0.0,2025,1
0.0,2025,2
0.0,2025,3
0.0,2025,4
0.0,2026,1
10.0,2026,2
